,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
2397,RUE DE L ILIADE,ILIADE (RUE DE L ILIADE),Toulouse,31555,2017-03-08,2017-01-01,ENTRE RUE ISABEY ET RUE DE L'INDRE,VERS DE L'INVENTION,False,217.0,43.597553967309935,1.4876531149695282
2398,CHE CARROSSE,CARROSSE (CHE CARROSSE),Toulouse,31555,2016-11-12,2016-01-01,ENTRE RUE GONIN ET AV DE LESPINET,VERS RUE GONIN,False,6193.0,43.57555685692031,1.480536641719109
2399,AV GEORGE SAND,SAND (AV GEORGE SAND),Colomiers,31149,2017-03-17,2017-01-01,ENTRE GIR GARE ET RUE COLLONGUE,VERSALL DE SAVOIE,False,2832.0,43.6022267691027,1.3423637922493823
2400,PL DE LA GARE,GARE (PL DE LA GARE),Colomiers,31149,2017-03-17,2017-01-01,ENTRE ALL D'OSSAU ET GIR DE LA GARE,VERS LA GARE,False,1795.0,43.60395818217294,1.3345333005305304
2401,RUE DES BUISSONNETS,BUISSONNETS (RUE DES BUISSONNETS),Toulouse,31555,2019-02-11,2019-01-01,ENTRE CHE DE LA BUTTE ET RUE CLAIR MATIN,VERS AV SAINT EXUPERY,False,41.0,43.58145587283749,1.4725657459750399
2402,RUE BELLEGARDE,BELLEGARDE (RUE BELLEGARDE),Toulouse,31555,2018-03-06,2018-01-01,ENTRE RUE ALSACE LORRAINE ET RUE BERALDI,VERS RUE BERALDI,True,426.0,43.608198063181305,1.4439702016014275
2403,CHE DE LA VIOLETTE,VIOLETTE (CHE DE LA VIOLETTE),Union,31561,2018-03-06,2018-01-01,ENTRE CHE PALANQUE ET RUE BORDEBASSE,VERS CHE DE LA PALANQUE,False,3772.0,43.66338782386823,1.463572871462224
2404,CHE DE FAGES,FAGES (CHE DE FAGES),Toulouse,31555,2018-03-16,2018-01-01,ENTTRE AV LESPINET ET RUE BOULOC,VERS AV DE LESPINET,False,52.0,43.58384177251752,1.4635284039256786
2405,RUE RASPAIL,RASPAIL (RUE RASPAIL),Toulouse,31555,2018-04-05,2018-01-01,ENTRE RUE FRANCAISE ET AV RIEUX,VERS AV JEAN RIEUX,True,945.0,43.594287455499476,1.462055553636147
2406,RUE LISE MEITNER,MEITNER (RUE LISE MEITNER),Toulouse,31555,2018-04-09,2018-01-01,ENTRE AV DE FRONTON ET RUE BERNHARDT,VERS RUE SARAH BERNHARDT,False,1597.0,43.653055900689644,1.4338929741639888
2407,RTE DE PARIS,PARIS (RTE DE PARIS),Fenouillet,31182,2018-05-11,2018-01-01,ENTRE CHE GRATIAN ET RUE DE LA COURTENSOURT,VERS CHE GRATIAN,False,16417.0,43.6904938932828,1.4036884905419562
2408,RUE ALAIN FOURNIER,FOURNIER (RUE ALAIN FOURNIER),Toulouse,31555,2018-05-12,2018-01-01,ENTRE CHE BOURIETTE ET PONT ROCADE,VERS RUE DOMINIQUE CLOS,False,2775.0,43.60793251491183,1.3719560359904701
2409,RUE ALAIN FOURNIER,FOURNIER (RUE ALAIN FOURNIER),Toulouse,31555,2018-05-12,2018-01-01,ENTRE VOIE SORTIE ROCADE ET RUE CLOS,VERS RUE DOMINIQUE CLOS,False,2837.0,43.60793251491183,1.3719560359904701
2410,RUE DE BELFORT,BELFORT (RUE DE BELFORT),Toulouse,31555,2018-04-03,2018-01-01,ENTRE PL BELFORT ET IMP BELFORT,VERS RUE BAYARD,True,686.0,43.609002768924626,1.4491508337176533
2411,CHE DE PERRUQUET,PERRUQUET (CHE DE PERRUQUET),Saint-Jory,31490,2018-04-01,2018-01-01,ENTRE RUE DE GRENADE ET RUE DE FLORENCE,VERS RUE DE FLORENCE,False,509.0,43.7427773617283,1.350036949664979
2412,BD DE LA MARQUETTE,MARQUETTE (BD DE LA MARQUETTE),Toulouse,31555,2018-06-15,2018-01-01,ENTRE RUE SEBASTOPOL ET RUE DU BEARNAIS,VERS RUE DU BEANAIS,False,14899.0,43.61303076975172,1.4302040393769773
2413,RUE DE LA JALOUSIE,JALOUSIE (RUE DE LA JALOUSIE),Toulouse,31555,2018-09-10,2018-01-01,ENTRE RTE ALBI ET CHE LAPUJADE,VERS CHE DE LAPUJADE,True,302.0,43.63221023671358,1.4610838002313005
2414,CHE DE SAINT JEAN,JEAN (CHE DE SAINT JEAN),Montrabe,31389,2018-05-28,2018-01-01,ENTRE CHE BILAREL ET CHE MURIERS,VERS ALL DE L'AUTAN,False,2259.0,43.65251593194742,1.5273322624022336
2415,CHE SAINT JAMES,JAMES (CHE SAINT JAMES),Cornebarrieu,31150,2018-05-23,2018-01-01,COTE RTE DE MONDONVILLE,VERS RN 224,False,60.0,43.65501247607185,1.3267047729433445
2416,BD DES FONTANELLES,FONTANELLES (BD DES FONTANELLES),L'union,31561,2018-09-18,2018-01-01,ENTRE RUE DES TAMARIS ET RUE DES BLEUETS,VERS AV DE CORNAUDRIC,False,1797.0,43.65861002526182,1.4773599756390152
2417,RUE LOUIS PLANA,PLANA (RUE LOUIS PLANA)_TOULOUSE,Toulouse,31555,2018-09-26,2018-01-01,ENTRE AV CHAUBET ET RUE SOUMET,VERS AV JEAN CHAUBET,False,4021.0,43.61009370704622,1.4793010756879603
2418,AV ANGLA,ANGLA (AV ANGLA)_TOULOUSE,Toulouse,31555,2018-10-02,2018-01-01,ENTRE CHE PELLEPORT ET RUE CHAMPLAIN,VERS RUE SOUPETARD,False,763.0,43.60915412161251,1.4734958473574835
2419,RUE JACQUES BABINET,BABINET (RUE JACQUES BABINET),Toulouse,31555,2018-11-08,2018-01-01,ENTRE AV DE REYNERIE ET RUE BAUDOT (OUEST),VERS AV DE REYNERIE,False,1235.0,43.57088637720472,1.4093056303609186
2420,CHE DE MOULIS,MOULIS (CHE DE MOULIS)__TOULOUSE,Toulouse,31555,2018-11-22,2018-01-01,ENTRE CHE CROIX BENITE ET BD GAUSSENS,VERS RTE DE LAUNAGUET,False,2163.0,43.66527240342014,1.4370576509466333
2421,AV DE REYNERIE,REYNERIE (AV DE REYNERIE),Toulouse,31555,2018-11-08,2018-01-01,ENTRE RUE GERVAIS ET RUE LIZOPE,VERS ALL DE BELLEFONTAINE,False,5011.0,43.571574496167536,1.408423042902448
